Canadian citizens,Not Canadian citizens,Non-immigrants,Immigrants,Non-permanent residents,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Total visible minority population,Not a visible minority,"No certificate, diploma or degree",High school certificate or equivalent,"Postsecondary certificate, diploma or degree","No postsecondary certificate, diploma or degree",Education,"Visual and performing arts, and communications technologies",Humanities,Social and behavioural sciences and law,"Business, management and public administration",Physical and life sciences and technologies,"Mathematics, computer and information sciences","Architecture, engineering, and related technologies","Agriculture, natural resources and conservation","Health, parks, recreation and fitness","Personal, protective and transportation services",Other,"With postsecondary certificate, diploma or degree",English,French,Non-official language,English and French,English and non-official language,French and non-official language,"English, French and non-official language",In the labour force,Not in the labour force,Participation rate,Employment rate,Unemployment rate,Worked at home,Worked outside Canada,No fixed workplace address,Worked at usual place,Walked or bicycled,Riding Vote
0.969533481,0.019570507,0.908706231,0.079868825,0.001057865,0.060298318,0.134877817,0.128530625,0.27927642,0.397228393,0.024859833,0.964773088,0.187242145,0.224267428,0.382947213,0.411509574,0.024859833,0.009520787,0.012694383,0.0486618,0.068232307,0.007933989,0.017454776,0.090447477,0.004760394,0.067174442,0.032264889,0,0.382947213,0.967417751,0.006347191,0.013752248,0.006876124,0,0,0,0.527345816,0.26711097,0.007024225,0.006548186,0.000698191,0.024859833,0.001586798,0.059240453,0.405691315,0.047603935,0
0.967700699,0.012357252,0.890148287,0.08905744,0.001278336,0.048150673,0.132520879,0.131242543,0.231805011,0.456792228,0.012783365,0.967700699,0.156809272,0.210925516,0.431651611,0.367734788,0.040054542,0.012783365,0.017470598,0.046872337,0.076700187,0.023010056,0.014061701,0.099710244,0.007670019,0.065621272,0.027271178,0,0.431651611,0.952786773,0.017470598,0.005113346,0.002130561,0.002982785,0,0,0.567581387,0.231805011,0.006050793,0.005701381,0.000502812,0.060081814,0.000852224,0.062638486,0.411198227,0.034941197,0
0.987451737,0.011583012,0.92953668,0.067567568,0.001930502,0.03957529,0.097490347,0.132239382,0.221042471,0.510617761,0.015444015,0.984555985,0.227799228,0.248069498,0.386100386,0.476833977,0.031853282,0.007722008,0.012548263,0.035714286,0.046332046,0.008687259,0.010617761,0.127413127,0.016409266,0.064671815,0.023166023,0,0.386100386,0.976833977,0.017374517,0.004826255,0.002895753,0,0,0,0.545366795,0.316602317,0.012220077,0.011698842,0.000810811,0.074324324,0,0.073359073,0.375482625,0.006756757,0
0.988184748,0.013426423,0.926423201,0.069817401,0.005370569,0.042964554,0.091299678,0.093984962,0.204081633,0.56122449,0.021482277,0.980128894,0.18528464,0.244360902,0.44575725,0.432330827,0.04027927,0.005370569,0.026852846,0.045649839,0.064446831,0.021482277,0.016111708,0.093984962,0.024167562,0.085929108,0.018796992,0,0.44575725,0.97207304,0,0.026852846,0,0.005370569,0,0,0.580021482,0.298066595,0.035499463,0.033995704,0.002470462,0.085929108,0,0.061761547,0.408163265,0.064446831,0
0.988368903,0.010972733,0.937345696,0.06035003,0.001371592,0.049102979,0.134415976,0.119877105,0.255116037,0.441103857,0.012892961,0.986174357,0.16486531,0.22027761,0.430954079,0.385417238,0.038678883,0.009601141,0.021945466,0.043342294,0.06857958,0.014264553,0.017282054,0.103692325,0.007132276,0.076260493,0.029900697,0,0.430954079,0.984802765,0.00493773,0.007680913,0.001097273,0.000822955,0,0,0.558512097,0.257584902,0.003752675,0.003555165,0.000290777,0.047457069,0.001371592,0.059252757,0.420804301,0.011247051,0
0.975348339,0.017148982,0.921757771,0.065380493,0.004287245,0.03965702,0.123258307,0.109324759,0.206859593,0.51982851,0.022508039,0.968917471,0.260450161,0.242229368,0.324758842,0.502679528,0.038585209,0.00750268,0.01607717,0.030010718,0.055734191,0.015005359,0.006430868,0.07073955,0.006430868,0.057877814,0.020364416,0,0.324758842,0.948553055,0,0.041800643,0.002143623,0,0,0,0.398713826,0.428724544,0.010332262,0.009796356,0.001093248,0.042872454,0,0.077170418,0.259378349,0.033226152,0
0.984768908,0.013130252,0.898109244,0.099789916,0,0.034138655,0.068277311,0.081407563,0.168067227,0.646008403,0,0.995273109,0.246848739,0.280987395,0.378151261,0.527836134,0.031512605,0.005252101,0.018382353,0.031512605,0.06039916,0,0.005252101,0.131302521,0.015756303,0.044642857,0.028886555,0,0.378151261,0.992647059,0,0,0,0,0,0,0.443802521,0.462184874,0.025735294,0.02342437,0.004359244,0.052521008,0,0.055147059,0.296743697,0.042016807,0
0.967356688,0.005971338,0.905652866,0.067675159,0,0.031847134,0.101512739,0.107484076,0.183121019,0.581210191,0.031847134,0.941480892,0.330414013,0.23089172,0.280652866,0.561305732,0.013933121,0.005971338,0.013933121,0.02388535,0.035828025,0.007961783,0.003980892,0.083598726,0.017914013,0.069665605,0.005971338,0,0.280652866,0.965366242,0,0.005971338,0,0.003980892,0,0,0.382165605,0.461783439,0.018073248,0.016759554,0.002707006,0.063694268,0,0.083598726,0.205015924,0.039808917,0
0.980630958,0.011944633,0.916106518,0.074009884,0.002342085,0.051174556,0.132679111,0.127877837,0.260908261,0.42719629,0.020727452,0.971848139,0.21289552,0.243459728,0.353186407,0.456355247,0.021195869,0.006557838,0.01323278,0.031969459,0.065812586,0.005386795,0.011007799,0.100241235,0.005972317,0.056210038,0.035365482,0,0.353186407,0.952057522,0.02646556,0.00936834,0.002224981,0.002459189,0,0.000585521,0.514673162,0.294868492,0.001489566,0.001407593,0.000126473,0.026114247,0.001873668,0.044733822,0.41396351,0.029276062,0
0.982672139,0.007979936,0.930232558,0.060419517,0,0.05129959,0.124259006,0.110579115,0.239398085,0.474236206,0.010259918,0.982672139,0.241678067,0.209758322,0.364797082,0.451436389,0.034199726,0.009119927,0.014819881,0.027359781,0.072959416,0.009119927,0.022799818,0.092339261,0.015959872,0.036479708,0.028499772,0,0.364797082,0.989512084,0,0,0,0.002279982,0,0,0.503875969,0.312357501,0.014090287,0.012973096,0.001801186,0.03875969,0,0.06497948,0.359097127,0.019379845,0
