Immigrants,Under 5 years,5 to 14 years,15 to 24 years,25 to 44 years,45 years and over,Americas,Asia,First generation,Not a visible minority,Other North American origins,Caribbean origins,African origins,Buddhist,Christian,Hindu,Other religions,No religious affiliation,Non-Aboriginal identity,Aboriginal ancestry,Aboriginal languages,Non-Aboriginal languages,High school diploma or equivalent,"Postsecondary certificate, diploma or degree",Humanities,"Personal, protective and transportation services",Other fields of study,"With postsecondary certificate, diploma or degree",English,Non-official language,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,All classes of worker,Industry - not applicable,All industries,Did not work in 2010,Worked in 2010,Average weeks worked in 2010,Worked at usual place,"Car, truck or van - as a driver",Bicycle,Between 5 and 6:59 a.m.,Anytime after 9:00 a.m.,Major repairs needed,1981 to 1990,2006 to 2011,7 rooms,2 bedrooms,4 or more bedrooms,Part of a condominium development,1 household maintainer,2 household maintainers,Under 25 years,75 years and over,Suitable,Not suitable,Spending less than 30% of household total income on shelter costs,Spending 30% or more of household total income on shelter costs,% of owner households with a mortgage,Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for rented dwellings ($),Average monthly shelter costs for rented dwellings ($),Average income ($),After-tax income in 2010 of population 15 years and over,Without after-tax income,Median after-tax income ($),Average after-tax income ($),Composition of total income in 2010 of population 15 years and over (%),Income taxes paid as a % of total income,After-tax income as a % of total income,Net capital gains or losses as a % of total income,Median family income ($),Median after-tax family income ($),Couple-with-children economic families,Income in 2010 of population aged 15 years and over not in economic families,Median total income ($),In bottom half of the Canadian distribution,Household total income in 2010 of private households,"$10,000 to $14,999","$100,000 and over",Average household total income ($),Median after-tax household income ($),Less than 18 years,Prevalence of low income in 2010 based on after-tax low-income measure (%),18 to 64 years (%),
0.492456388,0.035454974,0.076567657,0.133710514,0.18387553,0.062753418,0.010513909,0.07534182,0.50834512,0.404997643,0.139085337,0.090664781,0.044743046,0.010749646,0.522442244,0.09533239,0.002734559,0.115275813,0.990664781,0.014380009,0.000235738,0.513719943,0.234040547,0.40311174,0.033427628,0.018906176,0,0.403064592,0.534653465,0.010749646,0.000628949,0.000563885,9.71E-05,0.019896275,0.515275813,0.019943423,0.515322961,0.035454974,0.499717115,0.000414899,0.405186233,0.350306459,0.001178689,0.125648279,0.108910891,0.017538897,0.083074022,0.025553984,0.043375766,0.071098538,0.100282885,0.03592645,0.18505422,0.128477133,0.007024988,0.029372937,0.278736445,0.047807638,0.214144272,0.111739745,0.000664781,0.014672324,0.009184347,0.009269213,0.323536068,0.802498821,0.057048562,0.233936822,0.279754833,0.000942951,0.000127298,0.000815653,1.04E-05,0.705167374,0.633899104,0.142809995,0.095049505,0.271494578,0.536822254,0.326591231,0.006883545,0.063083451,0.738613861,0.54544083,0.239085337,0.000142386,0.00013107,1
0.513618295,0.04333317,0.09373313,0.131030083,0.190312607,0.055111155,0.013495608,0.053491682,0.522549934,0.287775433,0.107719488,0.177896648,0.07881435,0.014918781,0.581783383,0.11777985,0.002699122,0.078912499,0.99592678,0.008539039,0,0.49438092,0.195121951,0.410757226,0.026598616,0.018942926,0,0.410806301,0.541149335,0.008195515,0.000715513,0.000656623,8.05E-05,0.016930853,0.524954606,0.016930853,0.524954606,0.034058007,0.507827453,0.000441674,0.420572214,0.382784512,0.000834274,0.145605339,0.112234382,0.004907494,0.020218874,0.055356529,0.059675124,0.010649261,0.128183737,0.008833489,0.119055798,0.136182951,0.002600972,0.007017716,0.237522697,0.030622761,0.179957796,0.087598763,0.000873534,0.017617903,0.010708151,0.011267606,0.361387839,0.743730677,0.057368602,0.285498356,0.311380478,0.000981499,0.000135447,0.000846052,7.85E-06,0.87440742,0.766786082,0.166854787,0.037591402,0.353732149,0.453845021,0.268145458,0.004465819,0.076655052,0.925062571,0.746380723,0.303332188,0.000100113,9.32E-05,1
0.112467373,0.014931675,0.02487333,0.028865346,0.038423154,0.005335483,0.002763703,0.003454629,0.119376631,0.943766314,0.303162905,0.013895286,0.007792108,0.005373868,0.647896515,0.003109166,0.002533395,0.302740673,0.90365423,0.106748042,0.00917396,0.105941962,0.231498541,0.38545985,0.019537847,0.035505911,0.000307078,0.38545985,0.555389222,0.000998004,0.000497467,0.000459082,5.91E-05,0.011208353,0.516083218,0.011208353,0.516121603,0.025525871,0.501765699,0.000343928,0.412521112,0.386534623,0.003339475,0.131506218,0.11204514,0.033202825,0.04483341,0.022647014,0.065945033,0.090779979,0.092660832,0.027329955,0.238177491,0.153078458,0.012590204,0.046100107,0.377859665,0.019269154,0.280477507,0.092468908,0.000467526,0.008106863,0.005918931,0.006041763,0.284822662,0.813949025,0.043106096,0.206133886,0.244395824,0.000767695,0.000109013,0.000658683,1.07E-05,0.55685552,0.496161523,0.128051589,0.128089974,0.199762014,0.526331951,0.397167204,0.015353908,0.058460003,0.552878858,0.406517734,0.212191003,0.000101336,9.98E-05,0
0.071280643,0.010836584,0.016664259,0.016905072,0.023695998,0.003130569,0.000626114,0.000770602,0.073496123,0.985647546,0.341906276,0.002986081,0.002648943,0.00110774,0.691663054,0.001252228,0.003949333,0.295525695,0.965515581,0.046525069,0.003034244,0.070124741,0.244569667,0.402350335,0.018109136,0.032702403,0.000240813,0.402398497,0.559504889,0.004045658,0.000601069,0.00055676,7.13E-05,0.008428454,0.518133218,0.008380292,0.518133218,0.022491933,0.504069739,0.000430574,0.366421037,0.3538506,0.003178731,0.110292347,0.081394789,0.037903964,0.062466888,0.022058469,0.073014497,0.092905649,0.108654819,0.00871743,0.249771228,0.169339691,0.009873332,0.059432645,0.408659635,0.01353369,0.301449694,0.093868901,0.000510524,0.008052786,0.006906516,0.007253287,0.345788181,0.843760536,0.033954631,0.250098733,0.298906709,0.000963252,0.000131002,0.00083225,1.73E-05,0.655435149,0.593160911,0.116794298,0.133121418,0.25085007,0.541781053,0.422193325,0.010884747,0.057024515,0.663372345,0.486172518,0.191012859,0.000127149,0.000135819,0
0.207002354,0.024630128,0.036524882,0.051025555,0.082044385,0.012819435,0.005043712,0.007607599,0.216081036,0.908540686,0.266686281,0.013618023,0.014290518,0.004245124,0.702084734,0.007145259,0.002732011,0.261978816,0.990248823,0.017863147,0,0.168838265,0.235877606,0.501597176,0.030682582,0.023495293,0,0.501555145,0.591627438,0.001302959,0.000558171,0.000524546,4.96E-05,0.010591796,0.553925689,0.010591796,0.553925689,0.02471419,0.539761264,0.000381641,0.443972764,0.38760928,0.003404506,0.111003699,0.095494284,0.019166106,0.063634835,0.012357095,0.061995629,0.095242098,0.095410222,0.086667787,0.244493948,0.166610625,0.005464022,0.067543712,0.400933087,0.015887693,0.316324815,0.099865501,0.000447209,0.00945696,0.008717216,0.008969401,0.424529254,0.85070612,0.032279758,0.274806658,0.346729993,0.000840619,0.000154674,0.000685945,9.25E-06,0.780682582,0.671326496,0.127395763,0.14029926,0.30793544,0.354530935,0.416778749,0.006640888,0.111213853,0.833927371,0.552000672,0.186785474,6.81E-05,6.81E-05,1
0.20357952,0.024784776,0.041957408,0.050067966,0.073221568,0.013638423,0.002945174,0.010104214,0.206932488,0.881422746,0.297326688,0.013547802,0.010919801,0.008065247,0.696148618,0.011282284,0.002628002,0.240643407,0.982827367,0.029859538,0,0.202945174,0.246443135,0.36869053,0.018939737,0.028228364,0.000271862,0.36869053,0.573584051,0.004440417,0.000620752,0.000568192,7.61E-05,0.014182148,0.541323063,0.014227458,0.541323063,0.030946987,0.524558224,0.0004087,0.42890802,0.400317173,0.002899864,0.149071137,0.110104214,0.023289533,0.056955143,0.02292705,0.060353421,0.079202537,0.083597644,0.02528319,0.201449932,0.167014046,0.010421386,0.035795197,0.355142728,0.020616221,0.279700952,0.094789307,0.000583598,0.011282284,0.007267784,0.007557771,0.350512007,0.811418215,0.041232442,0.258187585,0.299166289,0.000906208,0.000133213,0.000772995,5.44E-06,0.711472587,0.628391482,0.139420027,0.112188491,0.26196647,0.474037155,0.375758949,0.011236973,0.070004531,0.718504758,0.533257816,0.230992297,0.000115995,0.000107839,1
0.128196857,0.020367725,0.032118336,0.033224275,0.037601954,0.004884568,0.005667942,0.002488365,0.135938436,0.943044099,0.350029953,0.004009032,0.008847519,0.003087415,0.791622506,0.001981476,0.001889314,0.193493387,0.976084051,0.03907654,0.000645132,0.173586471,0.24275379,0.340445141,0.014699783,0.02511405,0,0.340445141,0.514354177,0.005529699,0.000553892,0.000500438,8.85E-05,0.012948712,0.479424911,0.012948712,0.47937883,0.029307405,0.463020137,0.000408276,0.373669416,0.356066541,0.003594304,0.120916087,0.083083729,0.027556334,0.044283674,0.010690752,0.072899866,0.101193493,0.081885627,0.012073176,0.247269711,0.156674808,0.011105479,0.052762546,0.389198654,0.019860836,0.306068845,0.091424358,0.000476476,0.007096447,0.006294641,0.006432883,0.313432561,0.819823971,0.034191973,0.22891111,0.273167135,0.000921617,0.000118889,0.000802728,8.29E-06,0.609077923,0.549633657,0.122344592,0.130915626,0.230523939,0.568683471,0.40905949,0.01728031,0.048292705,0.602128934,0.451794848,0.219529054,0.000152988,0.000152988,0
0.478390827,0.039886319,0.072814583,0.116522932,0.213102705,0.036015288,0.020286162,0.015680125,0.506321051,0.669933359,0.108682869,0.054537436,0.039396315,0.034055272,0.644551156,0.01621913,0.005978048,0.252058016,0.98877891,0.016170129,0.000539004,0.602753822,0.1999706,0.421501372,0.040964328,0.020678165,0,0.421452372,0.554439436,0.035476284,0.000660525,0.000604665,8.23E-05,0.015827127,0.568257546,0.015778126,0.568306546,0.034496276,0.549588397,0.000438064,0.408565269,0.177626421,0.03498628,0.104713838,0.117894943,0.042091337,0.020188162,0.013475108,0.049441396,0.097167777,0.060172481,0.02371619,0.237651901,0.14499216,0.015386123,0.040180321,0.350891807,0.053459428,0.260829087,0.142591141,0.000555664,0.012887103,0.009055272,0.009310074,0.335721286,0.867208938,0.044590357,0.232379459,0.289641317,0.000980008,0.000134261,0.000845747,8.82E-06,0.689651117,0.617061936,0.118139945,0.210309682,0.237975304,0.55247942,0.404302234,0.015435123,0.064288514,0.683055664,0.490435123,0.161113289,0.000174441,0.000173461,0
0.543704587,0.038065286,0.086378918,0.120377399,0.240863247,0.058019738,0.014911615,0.075100314,0.570437046,0.441004229,0.105520009,0.063171023,0.068810324,0.018544626,0.555904999,0.039529335,0.005585078,0.17563171,0.99197484,0.01176662,0.000650689,0.589469689,0.20746123,0.496529661,0.03410693,0.017622817,0,0.496583885,0.507699816,0.011170155,0.000671294,0.000598634,0.000117124,0.023695912,0.491920616,0.023695912,0.491920616,0.04240321,0.473213317,0.000478256,0.385424574,0.239290749,0.001138705,0.080088927,0.096139247,0.031775296,0.049398113,0.015941872,0.03182952,0.155189242,0.039746231,0.117395076,0.268571738,0.12693851,0.0085674,0.060405596,0.339117232,0.068593428,0.258811409,0.147435202,0.000567184,0.012547446,0.011321982,0.011408741,0.420344865,0.832718794,0.057097929,0.277258432,0.353887865,0.001084481,0.000171348,0.000913133,3.14E-05,0.713219824,0.64386726,0.124606876,0.157141308,0.366565448,0.57824531,0.40771066,0.010790587,0.064363952,0.799598742,0.534247912,0.204316235,0.00022991,0.000221234,1
0.648545214,0.050439134,0.098228742,0.107256759,0.312202542,0.080418036,0.009567735,0.103822187,0.679456356,0.329816986,0.068249841,0.036210196,0.027525637,0.029193857,0.45061577,0.037878416,0.011235955,0.319071684,0.996908886,0.005200922,0,0.713409548,0.179039301,0.573867818,0.036700849,0.014376135,0,0.573818753,0.495167067,0.029144792,0.000586821,0.000526961,0.000100093,0.023355086,0.49075119,0.023355086,0.49075119,0.042098032,0.472008243,0.000428831,0.375889309,0.237672342,0.00166822,0.057357343,0.091801187,0.023943869,0.038221873,0.020263971,0.044502232,0.099602571,0.095922673,0.111917963,0.220842942,0.136450616,0.006574751,0.051665767,0.324370737,0.048623718,0.233845248,0.137677248,0.000479859,0.010882685,0.011549973,0.011549973,0.377900986,0.859133507,0.059319955,0.23667141,0.318463275,0.000981306,0.000154065,0.000827241,1.96E-05,0.706089004,0.635601786,0.147343114,0.12271233,0.270467592,0.526863255,0.372994456,0.009714931,0.079044208,0.810480349,0.545125362,0.178156126,0.000192336,0.000202149,1
