Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,English,Between 5 and 6:59 a.m.,4 or more bedrooms,Spending less than 30% of household total income on shelter costs,Average income ($),After-tax income as a % of total income,Household total income in 2010 of private households,"$10,000 to $14,999",Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.138955079,0.032344895,0.008031065,0.148971847,0.506089489,0.531065219,0.077663048,0.092048363,0.272967964,0.43478069,0.000712205,0.384079075,0.004677434,0.909125408,0.000111199,2
0.168357974,0.032543085,0.011503805,0.220190709,0.442962121,0.590193334,0.093561368,0.053451142,0.319569591,0.458402589,0.000701601,0.460414662,0.013909544,0.824039892,0.000120724,1
0.077655267,0.109656301,0.016065122,0.085494013,0.627444224,0.470324748,0.105736928,0.062365406,0.208157464,0.252554053,0.000766647,0.319665777,0.009087777,0.579817383,0.000177449,1
0.28689798,0.013050233,0.003625065,0.219005697,0.196271362,0.585810461,0.130450544,0.110305541,0.272294148,0.482889694,0.000859658,0.347332988,0.004194718,1.061574314,6.84E-05,1
0.608331327,0.007657115,0.000866843,0.097616181,0.058463761,0.317649892,0.191668673,0.095641705,0.304406453,0.402475319,0.000813869,0.39552131,0.008764748,0.804642427,0.000101132,0
0.265989216,0.011281626,0.018788884,0.302820406,0.215014517,0.599917047,0.124554127,0.08610535,0.293612609,0.350095396,0.000695147,0.399128992,0.013355454,0.688900871,0.000100373,1
0.323246673,0.007576834,0.001278591,0.256002273,0.104939149,0.565373869,0.150826348,0.103802623,0.30676706,0.348903727,0.000816404,0.396552541,0.008381872,0.700336222,0.00010797,1
0.36962272,0.006032763,0.001670611,0.307902919,0.054944545,0.540721147,0.117685275,0.110121119,0.305582626,0.345547357,0.000794468,0.415286092,0.01099819,0.68386468,0.000115087,0
0.264152871,0.028459023,0.016094421,0.337063151,0.273962804,0.51307991,0.114193746,0.050889025,0.305947272,0.31710607,0.000894134,0.487124464,0.042662988,0.52012058,0.000298385,0
0.227774142,0.019397962,0.012760587,0.222959708,0.3424792,0.516686922,0.131205011,0.066654202,0.296157801,0.32642797,0.000810508,0.40165467,0.011171356,0.644909788,0.000157988,2
0.252914492,0.022242817,0.007121604,0.229061997,0.285059265,0.53894932,0.131700893,0.085751915,0.289888298,0.34028584,0.000846788,0.383542266,0.0098044,0.697790352,0.000143408,1
0.219253865,0.020284647,0.005863161,0.238687408,0.269374439,0.557189465,0.094567119,0.119296421,0.297744574,0.450479928,0.000776396,0.381341907,0.00983498,0.938380065,0.00010497,2
